fg,bg,ratio,AA_normal,AA_large,AAA_normal,AAA_large
Primary,White,4.83,true,true,false,true
Primary,Gray-50,4.63,true,true,false,true
Primary,Gray-900,4.35,false,true,false,false
Accent,White,3.09,false,true,false,false
Accent,Gray-50,2.96,false,false,false,false
Accent,Gray-900,6.80,true,true,false,true
Info,White,4.23,false,true,false,false
Info,Gray-50,4.05,false,true,false,false
Info,Gray-900,4.96,true,true,false,true
Text-Primary,White,18.79,true,true,true,true
Text-Primary,Gray-50,18.00,true,true,true,true
Text-Muted,White,12.63,true,true,true,true
Text-Muted,Gray-50,12.10,true,true,true,true
White,Button-Primary,1.86,false,false,false,false
White,Button-Primary-Hover,3.01,false,true,false,false
White,Button-Secondary,2.19,false,false,false,false
Text-Primary,Primary,3.89,false,true,false,false
White,Accent,3.09,false,true,false,false
